Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
10.05.18;0;1;Ski;M;Storgalten;Lyngen;Troms;164270;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
04.05.18;0;1;Ski;M;Breikågen;Skjervøy;Troms;163617;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
03.05.18;0;1;Ski;M;Stehøe;Lom;Oppl.;163544;;Skiløperutløst skred. Ble ført med skredmassene 150 meter. Ikke begravd. Ikke skadet.
03.05.18;0;1;Ski;M;Bjørndalen;Lyngen;Troms;163491;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
02.05.18;0;1;Ski;M;Bingtoppen;Svalbard;Sval.;163360;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.05.18;0;1;Ski;M;Fugledalsbreen;Lyngen;Troms;163322;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.05.18;0;1;Ski;M;Storsteinnestinden;Tromsø;Troms;163213;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet
30.04.18;0;2;Ski;M;Sultinden;Lyngen;Troms;163089;;Skiløper utløst skred. Ingen tatt. Ingen skadet
30.04.18;0;3;Ski;M;Grønetinden;Ørsta;M&R;163106;;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet.
30.04.18;0;6;Ski;M;Steindalsnosi;Luster;S&F;163107;;Person i turfølge gikk ut på skavl som brakk. Alvorlig skadet og frektet til sykehus med helikopter
29.04.18;0;1;Ski;M;Nakkefjellet;Tromsø;Troms;162976;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
29.04.18;0;1;Ski;M;Hamperokken;Tromsø;Troms;162982;;Skiløperutløst lite løssnøskred. Ingen tatt. Ingen skadet.
29.04.18;0;2;Ski;M;Storgalten;Lyngen;Troms;162965;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
28.04.18;0;1;Ski;M;Søre Snarhornet;Ørsta;M&R;162871;;Skiløperutøst lite vått skred. Ingen tatt. Ingen skadet.
28.04.18;0;1;Ski;M;Tromsdalstinden;Tromsø;Troms;162884;;Skiløper utløste lite vått skred. Ingen tatt.Ingen skadet
27.04.18;0;1;Ski;M;Medlerskin;Kvinnherrad;Hord.;162757;;Skiløper utløste lite skred. Ingen tatt, ingen skadet
26.04.18;0;1;Ski;M;Bukkehøe;Lom;Oppl.;162648;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.04.18;0;1;Ski;M;Leirløyfte;Lom;Oppl.;159797;;Skiløper utløste vått løssnøskred. Ingen tatt. Ingen skadet.
17.04.18;0;2;Ski;M;Goalsevarre ;Lyngen;Troms;159764;;Skiløpere utløste sløsjskred. Kjørte ut av skredet. Ingen skadet.
15.04.18;0;1;Ski;M;Saudehornet;Ørsta;M&R;159175;;Skiløperutløst skred. Ingen tatt?. Ingen skadet
15.04.18;0;1;Ski;M;Småtindan;Bodø;Nord.;159124;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
15.04.18;0;1;Ski;M;Sjufjellet;Balsfjord;Troms;159119;;Skiløperutløst skred. En tatt, men liggende oppå skredet. Ingen skadet.
14.04.18;0;1;Ski;M;Gjerdhøa;Oppdal;S-T;158906;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
14.04.18;0;1;Ski;M;Øspetinden;Rauma;M&R;158872;;Skiløperutløst skred. Ingen tatt?. Ingen skadet.
14.04.18;0;1;Ski;M;Bukkevatnet;Lenvik;Troms;158829;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
14.04.18;0;3;Snøbrett;M;Grøndalseggi;Luster;S&F;158880;;Snøbrettkjører utløste lite skred. Ingen tatt. Ingen skadet.
13.04.18;0;4;Ski;M;Tyinstølen;Vang;Oppl.;158690;;Skiløperutløst skred. Ingen tatt. Ingen skadet. 
12.04.18;0;1;Ski;M;Rusteggvatnet;Vang;Oppl.;158349;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
12.04.18;1;1;Ski;K;Russelvfjellet;Lyngen;Troms;162732;;Person falt gjennom skavl og utløste skred under. Omkom av skadene
10.04.18;0;1;Ski;M;Saudehornet;Ørsta;M&R;157909;;Skiløperutløst skred. En tatt. Ingen skadet.
09.04.18;0;5;Ski;M;Sandvikhaugen;Sunndal;M&R;157691;;Følge på fem utløste skred. En tatt og begravd. Gravd frem av turfølget. Fraktet til sykehus.
09.04.18;0;1;Ski;M;Revsdalshornet;Sykkylven;M&R;157723;;Skiløperutløst skred. Ingen tatt. Ingen skadet
08.04.18;0;1;Ski;M;Sandfjellet;Bodø;Nord.;157256;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
08.04.18;0;1;Ski offpist;M;Raudalen alpinsenter;Vang;Oppl.;157378;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
07.04.18;0;2;Ski;M;Kavringtinden;Lyngen;Troms;157022;;Skikjørere fjernutløste skred. Ingen tatt. Ingen skadet.
07.04.18;0;1;Ski;M;Høgetua;Ørsta;M&R;157003;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
07.04.18;0;1;Snøbrett;M;Gjerdhøa;Oppdal;S-T;157053;;Brettkjører utløset skred over seg. Ble ført med og stoppet i tre. Kom seg ut ved egen hjelp uskadet.
06.04.18;0;2;Ski;M;Blånebba;Rauma;M&R;156863;;Skikjørere fjernutløste skred. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski;M;Vardeggi;Vik;Hord.;157049;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
06.04.18;0;8;Ski;M;Gaustatoppen;Tinn;Tele.;156805;;Gruppe utløste skred. En tatt og lettere skadet i arm.
06.04.18;0;3;Ski;M;Grøthornet;Ørsta;M&R;156829;;Skiløpere fjernutløste to skred. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski;M;Togga;Sogndal;S&F;156851;;Skiløperutløst skred. Ingen tatt.Ingen skadet.
06.04.18;0;1;Ski;M;Storakupa;Sogndal;S&F;156777;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
06.04.18;0;4;Ski;M;Fløtatinden;Nesset;M&R;156817;;Gruppe med skiløpere utløste skred. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski;M;Hevsdalen;Stranda;M&R;156802;;Skiløperutløst skred. Klarte å kjøre fra skredet. Ikke skadet.
06.04.18;0;1;Ski;M;Rundhøe;Lom;Oppl.;156854;;Skiløperutløst skred. En helt begravd. Klarte å gave seg selv ut. Ikke skadet.
06.04.18;0;1;Ski;M;Hamarskardet;Hemsedal;Busk.;156786;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski;M;Blådalen;Stranda;M&R;156843;;Persoutløst skred. Ingen tatt. Ingen skadet.
06.04.18;0;2;Ski;M;Kvandalsskardet;Ørsta;M&R;156858;;Skiløpere utløste skred. En tatt uten å bli begravet. Ingen skadet.
06.04.18;0;1;Ski;M;Roaldshornet;Stranda;M&R;156703;;Skred fjernutløst av skiløper. Ingen tatt. Ingen skadet.
06.04.18;0;1;Ski offpist;M;Kvitfjell;Ringeby;Oppl.;156728;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
05.04.18;0;1;Ski;M;Blåtinden;Vestvågøy;Nord.;156564;;Skiløper utløste skred. Igjen tatt. Ingen skadet.
05.04.18;0;9;Ski;M;Svartfjellet;Nordreisa;Troms;156577;;Gruppe på 9 utløste mest sannsynlig skred. Ingen tatt? Ingene skadet.
04.04.18;0;12;Ski;M;Nevernesfjellet;Kvænangen ;Finn.;156289;;Grupp på 12 utløste skred. Alle tatt. En begravd. Ingen skadet.
03.04.18;0;3;Ski;M;Spanstinden;Gratangen;Troms;156008;;Skiløperutløst skred. Ingen tatt?. Ingen skadet?
03.04.18;0;1;Ski offpist;M;Fagernesfjellet;Narvik;Troms;155929;;Skiløperutløst skred. En tatt? Ingen skadet.
02.04.18;0;1;Ski;M;Ladalshalsen;Sortland;Nord.;155987;;Skiløper fjernutløser skred. Ingen tatt. Ingen skadet.
02.04.18;0;2;Ski;M;Eliasdalen;Tromsø;Troms;155653;;Fjernutløste skred av skiløpere. Ingen tatt. Ingen skadet.
01.04.18;1;2;Ski;M;Sydalsfjellet;Vågan;Nord.;155976;;Skiløperutløst skred. En tatt. En omkom.
01.04.18;0;1;Ski;M;Sjufjellet;Balsfjord;Troms;155413;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
01.04.18;0;4;Ski;M;Kavringtinden;Lyngen;Troms;155421;;Gruppe fjernutløste skred. Ingen tatt. Ingen skadet
01.04.18;0;2;Ski;M;Andersdalen;Tromsø;Troms;155488;;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;2;Ski;M;Hamradalen;Sogndal;S&F;155543;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
01.04.18;0;2;Ski;M;1010 topp (Gavtavarri);Kåfjord;Troms;155476;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
01.04.18;0;1;Ski;M;Sjufjellet;Balsfjord;Troms;155385;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;4;Ski;M;Rørnestinden;Lyngen;Troms;155425;;Gruppe skiløpere utløste skred. Ingen tatt? Ingen skadet.
01.04.18;0;1;Ski;M;Skihytta, Lyngseidet;Lyngen;Troms;155373;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
01.04.18;0;2;Ski;M;Kjempehaugen;Balsfjord;Troms;155335;;Skiløpere utløste skred. Mulig en ble tatt. Ingen skadet.
31.03.18;0;10;Ski;M;Valldalen;Norddal;M&R;155336;;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;1;Ski;M;Lilledalen;Kåfjord;Troms;155287;;Skred fjernutløst mest sannsynlig av skiløper. Ingen tatt. Ingen skadet.
31.03.18;0;3;Ski;M;Valldalen;Norddal;M&R;155267;;Skiløpere utløste flakskred. Ingen tatt?. Ingen skadet
31.03.18;0;1;Ski;M;Disken;Hadsel;Nord.;155273;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
31.03.18;0;1;Ski;M;Fagernesfjellet;Narvik;Nord.;155459;;Skiløper utløste skred. Ingen tatt. Ingen skadet.
31.03.18;0;6;Ski;M;Storskredhaugen;Balsfjord;Troms;155206;;Gruppe på ski utløste skred. 4 tatt og delvis begravet. En lettere skadet pga. sammenstøt med trær.
31.03.18;0;2;Ski;M;Østerdalen;Bardu;Troms;155243;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;6;Ski;M;Pilan;Vågan;Nord.;155188;;Skredutløst av gruppe skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;2;Ski;M;Keipen;Berg;Troms;155218;;Skred fjernutløst av skiløpere. Ingen tatt. Ingen skadet.
31.03.18;0;1;Snøskuter;M;Blåuran;Gratangen;Troms;155276;;Skred fjernutløst av snøskuter. Ingen tatt. Ingen skadet
30.03.18;0;6;Ski;M;Kvalvikdalen;Lyngen;Troms;155434;;Skred utløst av turfølge. En nesten tatt. Ingen skadet
30.03.18;0;1;Snøskuter;M;Holmvatn;Tana;Finn.;155244;;Snøscooterfører løste ut og ble tatt av skred. Fløyet til sykehus md lettere skader
29.03.18;0;1;Ski;M;Blåbærfjellet;Balsfjord;Troms;154493;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
29.03.18;0;2;Ski;M;Storforrdalen;Tjeldsund;Troms;154448;;Skiløpere fjernutløste skred. Ingen tatt. Ingen skadet.
29.03.18;1;1;Snøskuter;M;Kildalen;Nordreisa;Troms;154642;;Snøskooter utløste skred. En tatt og omkom.
28.03.18;0;1;Ski;K;Solligården;Tromsø;Troms;154235;;Skiløperutløst skred. En tatt, ikke begravet men skadet. Fraktet til sykehus
28.03.18;0;2;Ski;M;Giilavarri;Kåfjord;Troms;154152;;Skiløpere utløste skred. En tatt, men kom seg ut ved egen hjelp. Ingen skadet.
28.03.18;0;1;Ski;M;Blåfjellet;Skånland;Troms;154364;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
28.03.18;0;1;Ski offpist;M;Svandalen skisenter;Sauda;Roga.;154285;;Skiløperutløst skred. En ført med skredet. Kom seg ut ved egen hjelp. Ingen skadet.
27.03.18;0;2;Ski;M;Risenosa;Ørsta;M&R;153963;;Skiløperutløst skred. En tatt og delvis begravd. Kommer seg ut ved egen hjelp. Ingen skadet.
27.03.18;0;3;Ski;M;Storelvtinden;Alta;Finn.;153881;;Skiløpere fjernutløste lite skred. En ble så vidt truffet. Ingen skadet.
27.03.18;0;1;Ski;M;Vigdalstølen;Luster;S&F;153875;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
27.03.18;0;1;Ski;M;Stortinden;Sortland;Nord.;153830;;Skiløper fjernuløste flere skred. Ingen tatt. Ingen skadet.
26.03.18;0;3;Ski;M;Fingeren;Ørsta;M&R;153516;;Skiløperutløst skred. To tatt. Ingen skadet
26.03.18;0;1;Ski;M;Myrhyra;Luster;S&F;153539;;Lite skred fjernutløst? av skiløper. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Fingeren;Ørsta;M&R;153414;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Sørkjosen;Nordreisa;Troms;153510;;Skiløper fjernutløste flere små skred. Ingen tatt. Ingen skadet.
26.03.18;0;1;Ski;M;Rottenvik;Lyngen;Troms;153515;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
25.03.18;0;1;Ski;M;Djupvik;Nordreisa;Troms;153125;;Skiløper?utløst skred. Ingen skadet.
25.03.18;0;2;Ski;M;Steinhøe;Luster;S&F;153148;;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet.
25.03.18;0;2;Ski;M;Solskinnstoppen;Lom;Oppl.;153162;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
25.03.18;0;2;Ski;M;Ulvot;Lom;Oppl.;153110;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
24.03.18;0;8;Ski;M;Kvannkjostinden;Hadsel;Nord.;152926;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
24.03.18;0;1;Ski;M;Hestdalstuva;Steigen;Nord.;152928;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
24.03.18;0;1;Ski;M;Fagerfjellet;Tromsø;Troms;152884;;Skiløperutløst lite skred. 
24.03.18;0;1;Ski;M;Svarteberg;Lærdal;S&F;152890;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
23.03.18;0;1;Ski;M;Slettebotnen;Førde;S&F;152735;;Skiløperutløst skred. En tatt. Ingen skadet.
23.03.18;0;2;Ski;M;Langlitinden;Ibestad;Troms;152693;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
23.03.18;0;1;Ski;M;Langlitinden;Ibestad;Troms;152586;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
22.03.18;0;1;Ski;M;Galten;Øksnes;Nord.;152460;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
22.03.18;0;1;Ski;M;Rundhøe;Lom;Oppl.;152416;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
21.03.18;0;1;Ski;M;Raften;Hadsel;Nord.;152145;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;2;Ski;M;Ranten;Sigdal;Busk.;152077;;Skiløperutløst skred. 
20.03.18;0;2;Ski;M;Melkefjellet;Balsfjord;Troms;152167;;Skiløperutløst skred. En tatt, men holdt seg på beina. Ingen skadet.
20.03.18;0;4;Ski;M;Gaustatoppen;Tinn;Tele.;152004;;Skiløperutløst skred. En tatt. Fløt oppå. Ingen skadet.
20.03.18;0;3;Ski;M;Gravdalen;Luster;S&F;151941;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Steinberget;Rauma;M&R;151882;;Skiløper fjernutløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Fursetnakken;Stranda;M&R;151900;;Skiløperutlsøt skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Roggevaggi;Alta;Finn.;151907;;Skiløperutløst skred. Ingen tatt. Ingen skadet
20.03.18;0;2;Ski;M;Sjufjellet;Balsfjord;Troms;151813;;Fjernutløst skred. Ingen tatt. Ingen skadet
20.03.18;0;1;Ski;M;Røgjin;Hemsedal;Busk.;151889;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Ski;M;Gammelgårdsfjellet;Tromsø;Troms;151815;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
20.03.18;0;2;Ski;M;Skørnøse;Vang;Oppl.;151895;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Snøbrett;M;Prestauran;Oppdal;S-T;151852;;Snowboarder utløste skred. Ingen tatt. Ingen skadet.
20.03.18;0;1;Snøskuter;M;Sørskogen;Bardu;Troms;151933;;Snøscooter fjernutløste lite skred. Ingen tatt. Ingen skadet
19.03.18;0;0;Bil;N;Sel;Sel;Oppl.;151383;;Naturlig utløst skred over vei. Ingen biler tatt eller begravd
19.03.18;0;4;Ski;M;Kistrandfjellet;Fauske;Nord.;151721;;Skiløpere utløste skred. Fire tatt. Delvis begravd. Ingen skadet,
19.03.18;0;1;Ski;M;Vargfjellet;Ballangen;Nord.;151637;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
19.03.18;0;1;Ski;M;Andrefjellet;Tranøy;Troms;151587;;Skred fjernutløst av skiløpr. Ingen tatt. Ingen skadet,
19.03.18;0;1;Ski;M;Bjørnfjell;Narvik;Nord.;151559;;Fjernutløst lite skred. Ingen tatt. Ingen skadet.
19.03.18;0;3;Ski;M;Jomfrudalen;Vågan;Nord.;151592;;Fjernutløst skred. En ført med og delvis begravd, men kom seg ut ved egen hjelp. Ingen skadet.
19.03.18;0;1;Ski;M;Bureb;Tromsø;Troms;151536;;Skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
18.03.18;0;1;Ski;M;Bjøbergdalen;Hemsedal;Busk.;151272;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
18.03.18;0;1;Ski;M;Skogshornrenna;Hemsedal;Busk.;151605;;Skiløperutløst skred. En person ført med. Skadeomfang ukjent.
18.03.18;0;1;Ski offpist;M;Hemsedal skisenter;Hemsedal;Busk.;151606;;Skiløperutløst skred. En tatt. En skadet og sendt i ambulanse.
17.03.18;0;2;Ski;M;Omvikdalen;Kvinnherrad;Hord.;151132;;Skred fjernutløst av gruppe. Ingen skadet.
17.03.18;0;1;Ski;M;Nedrereppi;Lyngen;Troms;151126;;Skred fjernutløst av fjellskiløper. Ingen tatt. Ingen begravet.
17.03.18;0;1;Ski;M;Melderskin;Kvinnherrad;Hord.;151121;;Skiløperutløst skred.En ført med. Ikke begravet. Ikke skadet.
17.03.18;0;1;Ski;M;Sandfjellet;Voss;Hord.;151110;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.03.18;0;2;Ski;M;Heimre Fagerdalen;Vang;Oppl.;151175;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
17.03.18;0;1;Ski;M;Nonsfjellet;Oppdal;S-T;151122;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Navarsete;Sogndal;S&F;150923;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Loftan;Vågan;Nord.;151015;;Skiløperutløst skred. En tatt og delvis begravd. Gravd frem av kamerater.
16.03.18;0;3;Ski;M;Kyrkja;Lom;Oppl.;150908;;Skiløperutløst skred. Ingen tatt. Ingen skadet.
16.03.18;0;1;Ski;M;Nonskiljenuten;Sauda;Roga.;151094;;Lite skred fjernuløst av skiløper.Ingen tatt. Ingen skadet.
16.03.18;0;2;Ski;M;Updalsstølen;Vang;Oppl.;150929;;Lite skred fjernuløst fra rygg av skiløper. Ingen tatt. Ingen skadet.
15.03.18;0;3;Ski;M;Finnheimfjellet;Tromsø;Troms;151042;;Skiløperutløst skred. En fraktet med. Ingen skadet.
14.03.18;0;1;Ski;M;Kolbeindalen;Vågan;Nord.;150554;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet. Skredbanen krysser flere skispor.
13.03.18;0;1;Ski;M;Ruten;Hemne;S-T;150272;;Skiløper fjernutløste lite skred. Ingen tatt. Ingen skadet.
